,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
83297,8.0,13.0,3.0,2.0,1.0,6.0,6.0,2.0,3.25,3.0,2.0,4.0,True,7.0,3.7142857142857144,3.0,6.0,3.0
83302,78.0,13.0,2.0,2.0,65.0,0.0,3.0,0.0,0.3333333333333333,0.0,0.0,2.0,True,1.0,26.0,26.0,26.0,26.0
83304,30.0,30.0,2.0,2.0,6.0,6.0,7.0,0.0,2.0,2.0,1.0,3.0,True,7.0,8.571428571428571,6.0,27.0,3.0
83305,51.0,52.0,2.0,2.0,7.0,8.0,5.0,0.0,2.0392156862745097,2.0,2.0,3.0,True,9.0,11.555555555555555,7.0,44.0,3.0
83306,39.0,13.0,2.0,2.0,26.0,0.0,3.0,0.0,0.6666666666666666,1.0,0.0,2.0,True,1.0,26.0,26.0,26.0,26.0
83307,48.0,51.0,2.0,2.0,4.0,7.0,7.0,0.0,2.125,2.0,1.0,3.0,True,8.0,12.75,7.0,58.0,3.0
83308,9.0,6.0,2.0,2.0,4.0,1.0,2.0,0.0,1.3333333333333333,2.0,2.0,3.0,True,2.0,6.0,6.0,9.0,3.0
83309,100.0,54.0,2.0,2.0,47.0,1.0,4.0,0.0,1.08,1.0,1.0,3.0,True,2.0,54.0,54.0,105.0,3.0
83311,22.0,13.0,2.0,2.0,11.0,2.0,4.0,0.0,1.1818181818181819,1.0,0.0,3.0,True,3.0,8.666666666666666,5.0,18.0,3.0
83312,7.0,9.0,4.0,2.0,1.0,3.0,4.0,2.0,2.5714285714285716,2.0,2.0,3.0,True,4.0,4.5,3.5,8.0,3.0
83313,65.0,12.0,2.0,2.0,53.0,0.0,4.0,0.0,0.36923076923076925,0.0,0.0,2.0,True,1.0,24.0,24.0,24.0,24.0
83314,19.0,17.0,2.0,2.0,2.0,0.0,4.0,0.0,1.7894736842105263,2.0,2.0,3.0,True,1.0,34.0,34.0,34.0,34.0
83316,21.0,21.0,2.0,2.0,5.0,5.0,5.0,0.0,2.0,2.0,2.0,3.0,True,6.0,7.0,7.5,10.0,4.0
83317,53.0,28.0,2.0,2.0,25.0,0.0,3.0,0.0,1.0566037735849056,1.0,1.0,3.0,True,1.0,56.0,56.0,56.0,56.0
83318,60.0,10.0,2.0,2.0,50.0,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,2.0,True,1.0,20.0,20.0,20.0,20.0
83320,40.0,18.0,2.0,2.0,23.0,1.0,3.0,0.0,0.9,1.0,0.0,3.0,True,2.0,18.0,18.0,33.0,3.0
83324,29.0,37.0,9.0,5.0,1.0,9.0,4.0,1.0,2.5517241379310347,2.0,2.0,3.0,True,10.0,7.4,6.5,19.0,3.0
83327,37.0,25.0,2.0,2.0,13.0,1.0,5.0,0.0,1.3513513513513513,1.0,1.0,3.0,True,2.0,25.0,25.0,46.0,4.0
83328,66.0,37.0,2.0,2.0,32.0,3.0,5.0,0.0,1.121212121212121,1.0,0.0,4.0,True,4.0,18.5,5.0,60.0,4.0
83331,26.0,11.0,2.0,2.0,16.0,1.0,2.0,0.0,0.8461538461538461,1.0,0.0,2.0,True,2.0,11.0,11.0,18.0,4.0
83334,17.0,18.0,2.0,2.0,2.0,3.0,5.0,1.0,2.1176470588235294,2.0,1.0,3.0,True,4.0,9.0,4.5,24.0,3.0
